,168_wt_1 (GSE66893)_l,168_Dhfq_1 (GSE66893)_l,168_wt_2 (GSE66893)_l,168_Dhfq_2 (GSE66893)_l,168_wt_1 (GSE66893)_r,168_wt_2 (GSE66893)_r,168_Dhfq_1 (GSE66893)_r,168_Dhfq_2 (GSE66893)_r,Bs_WT_rep1 (GSE73315),Bs_WT_rep2 (GSE73315),Bs_WT_rep3 (GSE73315),Bs_ylbM_rep1 (GSE73315),Bs_ylbM_rep2 (GSE73315),Bs_ywlC_rep1 (GSE73315),Bs_ywlC_rep2 (GSE73315),BS_KS400_1 (GSE45824),BS_WT_1 (GSE45824),BS_KS696_1 (GSE45824),BS_WT_2 (GSE45824),BS_KS696_2 (GSE45824),BS_WT_3 (GSE45824),BS_KS400_2 (GSE45824),B. subtilis 168 Day 1 (GSE94788),B. subtilis 168 Day 4 (GSE94788),B. subtilis YK240 Day 1 (GSE94788),B. subtilis YK240 Day 4 (GSE94788),B. subtilis YK240 Day 3 (GSE94788),B. subtilis PG479 Day 4 (GSE61757),B. subtilis 168 Day 1 (GSE61757),B. subtilis PG479 Day 5 (GSE61757),B. subtilis 168 Day 4 (GSE61757),B. subtilis PG479 Day 3 (GSE61757),168_wt_1 (GSE66892),168_wt_2 (GSE66892),168_Dhfq_1 (GSE66892),168_Dhfq_2 (GSE66892),168_wt_1 (GSE66891),168_Dhfq_1 (GSE66891),168_wt_2 (GSE66891),168_Dhfq_2 (GSE66891)
BSU00010,13.720999999999998,13.575,13.716,14.061,10.4377,10.2592,9.836,9.8106,13.5888,13.1185,12.9691,13.6362,13.6754,12.2858,12.9121,14.52736421,14.55451315,14.72996628,14.76271745,14.71690426,14.663782199999998,14.52574098,14.63744859,14.85131682,14.71154845,14.63325365,14.71935458,14.94094239,14.63744859,14.70185073,14.85131682,14.73815343,10.4377,10.2592,9.836,9.8106,13.720999999999998,13.575,13.716,14.061
BSU00020,13.359000000000002,13.38,13.008,13.850999999999999,10.1365,10.1035,9.9247,9.8563,12.9031,12.208,12.4771,13.2415,13.1902,12.2522,12.3383,13.9287991,14.50089335,14.11831782,14.65446309,14.19074896,14.56249191,14.16933609,14.5953726,14.78260521,14.71326538,14.30293511,14.65734498,14.44531702,14.5953726,14.26559414,14.78260521,14.120301300000001,10.1365,10.1035,9.9247,9.8563,13.359000000000002,13.38,13.008,13.850999999999999
BSU00030,13.295,12.995,12.595999999999998,12.5,10.2735,10.0648,10.158,9.9633,13.1316,13.1203,13.1282,13.4962,13.2483,12.2383,12.5495,14.439076199999999,14.61183116,14.41235922,14.4151133,14.36341007,14.63390349,14.40516204,13.69449547,13.59222052,13.58944118,13.41283115,13.51926006,13.19538722,13.69449547,13.31943383,13.59222052,13.18776457,10.2735,10.0648,10.158,9.9633,13.295,12.995,12.595999999999998,12.5
BSU00040,13.210999999999999,13.099,12.925,12.86,12.1839,12.2729,12.2616,12.0935,13.9718,13.7805,13.8134,13.6023,13.6099,13.7234,12.9431,14.54872461,14.78314425,14.44072033,14.76285745,14.36104355,14.71895909,14.61428002,14.68531675,14.71831417,14.63219645,14.42394758,14.61799575,14.40128044,14.68531675,14.43674996,14.71831417,14.369886800000002,12.1839,12.2729,12.2616,12.0935,13.210999999999999,13.099,12.925,12.86
BSU00050,13.315,13.079,13.347000000000001,13.255999999999998,12.3922,12.5259,12.544,12.2966,14.0135,13.7881,13.9982,13.7733,13.7234,13.834000000000001,13.0639,14.03380332,14.47690673,14.15316674,14.57159056,14.04149297,14.28679872,14.06806358,14.51261027,14.56088016,14.31475304,14.34758987,14.42719259,14.14887483,14.51261027,14.26528274,14.56088016,14.11467886,12.3922,12.5259,12.544,12.2966,13.315,13.079,13.347000000000001,13.255999999999998
BSU00060,13.638,13.512,13.161,13.118,12.407,12.4254,12.589,12.3412,14.193,13.9569,14.3048,13.8411,13.7831,13.58,13.2216,15.05629161,15.39315222,15.08543973,15.44988461,14.99898025,15.33579459,15.16428929,15.14319486,15.16649532,14.9564239,14.85944608,15.07250064,14.755857699999998,15.14319486,14.85603189,15.16649532,14.8433571,12.407,12.4254,12.589,12.3412,13.638,13.512,13.161,13.118
BSU00070,13.908,13.824000000000002,13.514000000000001,13.469000000000001,11.9918,11.964,12.2054,11.9959,14.5998,14.4753,14.6247,13.8695,13.8206,13.3058,13.3007,14.65152122,14.97761307,14.54555849,14.97898456,14.59228574,14.91070558,14.65046631,14.290681699999999,14.36798247,14.30462223,13.99486476,14.23107152,13.82862631,14.290681699999999,14.04588882,14.36798247,13.73932458,11.9918,11.964,12.2054,11.9959,13.908,13.824000000000002,13.514000000000001,13.469000000000001
BSU00080,6.6339999999999995,6.715,6.952999999999999,6.917000000000001,7.9742,7.1152,7.6252,7.675,10.5001,10.7643,9.0215,8.2486,8.5862,7.2562,7.9499,6.40866968,6.474886281,6.4276536360000005,6.67304489,6.474886281,6.508848046000001,6.437501821000001,4.8660456960000005,4.877615501,4.809143364,4.786441363,4.84404005,4.819459735,4.8660456960000005,4.745571877,4.877615501,5.7401109660000005,7.9742,7.1152,7.6252,7.675,6.6339999999999995,6.715,6.952999999999999,6.917000000000001
BSU00090,14.817,14.802,15.213,14.647,13.4856,13.7077,13.0571,13.2309,16.2783,15.0923,15.395999999999999,15.5158,15.6336,13.9545,15.654000000000002,15.36535063,15.57928935,15.44535655,15.58649049,15.47427033,15.74017402,15.23237879,15.55441621,15.58254048,15.26013849,15.245050299999999,15.24475883,15.54178961,15.55441621,15.50091676,15.58254048,15.58964029,13.4856,13.7077,13.0571,13.2309,14.817,14.802,15.213,14.647
BSU00100,14.255999999999998,14.399000000000001,14.151,14.184000000000001,10.62,10.5189,10.6964,10.5026,14.0199,14.3162,13.6402,14.0719,14.1506,13.2444,13.3617,14.79996843,14.92926063,14.54137828,15.13015477,14.79730901,15.16978999,14.71080375,14.62367567,14.87853769,14.52653669,14.70093015,14.44935978,14.31604255,14.62367567,14.73885217,14.87853769,14.65352841,10.62,10.5189,10.6964,10.5026,14.255999999999998,14.399000000000001,14.151,14.184000000000001
