organisms,samples,series_accession,series_id,submitter_supplied,title,type,count,mean,pre_value,standard_deviation,value_description,cluster
Bacillus subtilis,268,GSE67023,200067023,"Organisms from all domains of life use gene regulation networks to control cell growth, identity, function, and responses to environmental challenges. Although accurate global regulatory models would provide critical evolutionary and functional insights, they remain incomplete, even for the best studied organisms. Efforts to build comprehensive networks are confounded by challenges including network scale, degree of connectivity, complexity of organism-environment interactions, and difficulty of estimating the activity of regulatory factors. more...",63. An experimentally supported model of the Bacillus subtilis global transcriptional regulatory network.,Expression profiling by array,3810.0,0.33573480343753254,,1.1597934391725107,normalized log2 ratio gMedianSignal/rMedianSignal,1
Bacillus subtilis,118,GSE19831,200019831,"We have determined the time-resolved transcriptome of the model gram-positive organism B. subtilis during growth on rich medium. DNA microarrays were used to monitor gene transcription in 10-minute intervals at 40 consecutive timepoints. From the growth curve and a PCA analysis of all gene expression levels, we identified 4 distinct growth phases: a lag phase, an exponential growth phase, and very clearly separated early and late stationary growth phases",142. Growing pains: natural stress response during growth of B. subtilis (high density time-resolved transcriptome analysis),Expression profiling by array,4061.0,1.1678852269226794,,2.9339726982030325,normalized log2 ratio (Cy5/Cy3),1
Bacillus subtilis,16,GSE39142,200039142,"Detailed description (other than provided below) of growth conditions, RNA preparation, cDNA synthesis and hybridization conditions can  be found in the submitted paper.",94. The YmdB phosphodiesterase is a global regulator of biofilm-specific mRNA levels in Bacillus subtilis,Expression profiling by array,4086.0,0.008427467693685811,,0.6052152517246029,LN ratio (Target / Control = Mutant / Wild type) and grid based lowess normalisation,1
Bacillus subtilis,15,GSE27416,200027416,"Global tranascriptional profiling of Bacillus subtilis cells comparing fur mutant to mutants of the iron-sparing response: fur fsrA double mutant, fur fbpAB triple mutant, fur fbpC double mutant, and  fur fbpABC quadruple mutant Abstract of associated manuscript: The Bacillus subtilis ferric uptake regulator (Fur) protein is the major sensor of cellular iron status. When iron is limiting for growth, derepression of the Fur regulon increases the cellular capacity for iron uptake and mobilizes an iron-sparing response mediated, in large part, by a small non-coding RNA named FsrA. more...","158. Bacillus subtilis CU1065: WT vs fur, fur vs fur fsrA, fur vs fur fbpAB, fur vs fur fbpC, and fur vs fur fbpABC",Expression profiling by array,4060.0,-0.38121123152709235,,1.3214965524060793,log2 of mutant/average of fur,1
Bacillus subtilis,15,GSE30003,200030003,This SuperSeries is composed of the SubSeries listed below.,151. The GntR family repressor YtrA responds to cell wall antibiotics,Expression profiling by array,4104.0,0.79158791423002,Fold changes equal to average of moenomycin treated sample  (635) / average of untreated sample (532). Ave represents the average of medians for duplicate spots (minus median of background).,2.0469602658308843,log2 of PRE_VALUE,1
Bacillus subtilis,14,GSE13820,200013820,"Abstract of associated manuscript: The Bacillus subtilis extracytoplasmic function (ECF) sigma(M) factor is activated by cell envelope stress elicited by antibiotics, and by acid, heat, ethanol and superoxide stresses. Here, we have used several complementary approaches to identify genes controlled by sigma(M). In many cases, expression is only partially dependent on sigma(M) because of both overlapping promoter recognition with other ECF sigma factors and the presence of additional promoter elements. more...",191. Sigma(M) regulated genes under antibiotic stress (vancomycin),Expression profiling by array,4103.0,-0.016907799171338053,Ratios equal to average of vancomycin treated samples (647) / average of untreated samples (555) or average of wild type (555) / average of mutants (647) excluding dye swap experiment which was average of wild type (647) / average of mutant (555). Ave represents the average of medians for duplicate spots (minus median of background).,0.8958524579412742,log2 of PRE_VALUE: Ratios equal to average of vancomycin treated samples (647) / average of untreated samples (555) or average of wild type (555) / average of mutants (647) excluding dye swap experiment which was average of wild type (647) / average of mutant (555). Ave represents the average of medians for duplicate spots (minus median of background).,1
Bacillus subtilis,12,GSE55051,200055051,"The advent of ‘omics’ techniques bear significant potential for the assessment of the microbiological stability of foods. This requires the integration of molecular data with their implication for cellular physiology. Here we performed a comparative physiological and transcriptional analysis of Bacillus subtilis stressed with three different weak organic acids: the commonly used food preservatives sorbic- and acetic- acid, plus the well-known uncoupler carbonyl cyanide-m-chlorophenyl hydrazone (CCCP). more...",81. Time-series of transcriptome analysis of Bacillus subtilis response to 25 mM potassium acetate and 0.85 µM CCCP,Expression profiling by array,3746.0,0.007438797823011212,,0.26454139746365896,Normalized log2 ratio (Cy5/Cy3) representing treatment/control,1
Bacillus subtilis,12,GSE13036,200013036,"The Bacillus subtilis membrane contains diacylglycerol-based lipids with at least five distinct headgroups that impart distinct physical and chemical properties to the lipid bilayer. Here, we describe the phenotypic characterization of mutant strains lacking one or more of the following lipids: glycolipids (ugtP mutants), phosphatidylethanolamine (pssA and psd mutants), lysylphosphatidylglycerol (mprF), and cardiolipin (ywnE and ywjE). more...",195. Global profiling of B. subtilis comparing wild-type to mutants with altered cytoplasmic membrane composition,Expression profiling by array,4099.0,0.11344959746279605,,0.8762608133834673,log2 ratio representing mutant/wt,1
Bacillus subtilis,9,GSE47918,200047918,"To compare the altered transcript levels in the floT, floA single and floTfloA double mutants of Bacillus subtilis, cells were grown in MSgg medium until the late exponential phase and their transcriptome was compared to the wild type, NCIB3610 strain.",43. Effect of floT and floA mutations on the global transcriptome of Bacillus subtilis NCIB3610,Expression profiling by array,4103.0,0.01609935895381427,,0.3139674470960716,LN ratio (target/control or mutant/wild type) and grid based lowess normalization,1
Bacillus subtilis subsp. subtilis str. 168,8,GSE50653,200050653,Comparing the transcriptional responses of Bacillus subtilis strains WN624 and WN1106 at 5 kPa and 101 kPa. WN1106 is a 5 kPa-evolved strain with increased fitness compared to ancestor-WN624 strain at 5 kPa. This experiment probed the difference in response when the strains are grown at 5 kPa.,84. Bacillus subtilis strains at low-pressure: 5 kPa versus 101 kPa growth,Expression profiling by array,4102.0,0.002846684544124855,,0.04808120526169412,normalized RATIO = log10(2cy5/2cy3),1
